Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto D,0,2561.6,Phantom 3 Advanced,50,15.251,50,15.246,0.0,0.0,0.004999999999999005
Piloto D,1211,2567.4,Mavic Pro,100,12.99,12,10.854,53.3,2.3,2.136000000000001
Piloto A,318,426.9,Phantom 3 Advanced,96,16.994,74,14.919,99.2,1.4,2.0749999999999993
Piloto D,0,7.7,Phantom 3 Advanced,91,16.777,91,16.673,0.0,0.0,0.10400000000000276
Piloto A,808,583.4,Phantom 3 Advanced,96,16.931,30,14.31,111.1,4.1,2.6210000000000004
Piloto D,838,5.0,Phantom 3 Advanced,76,15.365,12,14.08,28.3,2.0,1.2850000000000001
Piloto D,965,1870.7,Phantom 3 Advanced,98,16.965,16,14.085,79.2,2.4,2.879999999999999
Piloto B,643,2560.9,Spark,98,12.688,20,10.893,80.2,0.5,1.795
Piloto B,0,304.3,Mavic Air 2,95,12.786,95,12.866,0.0,0.0,-0.08000000000000007
Piloto B,651,2560.7,Spark,94,12.523,10,10.718,80.7,0.2,1.8049999999999997
Piloto D,37,0.0,Mavic Air 2,90,12.55,88,12.367,0.0,0.0,0.18299999999999983
Piloto A,642,2620.3,Spark,97,12.694,22,10.84,68.0,0.9,1.854000000000001
Piloto A,130,1063.4,Mavic Pro,100,12.54,92,11.838,150.2,0.2,0.702
Piloto D,203,21.5,Matrice 210 RTK V2,97,25.908,86,24.556,130.1,0.7,1.3520000000000003
Piloto D,852,2628.9,Phantom 3 Advanced,97,16.932,15,13.946,90.6,0.6,2.985999999999999
Piloto A,710,2620.6,Spark,94,12.673,10,10.68,64.4,0.9,1.9930000000000003
Piloto A,947,2410.3,Phantom 3 Advanced,100,17.119,24,14.243,122.2,1.1,2.8759999999999994
Piloto A,0,887.4,Phantom 4,100,17.088,100,17.034,0.2,0.0,0.054000000000002046
Piloto D,0,2555.4,Matrice 210 RTK V2,64,23.648,63,23.564,0.0,0.4,0.08399999999999963
Piloto A,172,257.3,Phantom 3 Professional,29,14.037,12,13.627,32.1,0.1,0.41000000000000014
Piloto A,12,2594.2,Phantom 3 Advanced,52,15.276,51,14.48,4.0,0.0,0.7959999999999994
Piloto A,188,1424.4,Mavic Pro,59,11.872,45,11.244,39.1,0.3,0.6280000000000001
Piloto D,635,2665.3,Phantom 3 Advanced,83,16.428,14,13.91,72.3,4.0,2.5180000000000007
Piloto D,0,4.3,Phantom 3 Advanced,90,16.726,89,16.595,0.5,0.0,0.13100000000000023
Piloto B,1396,2936.6,Mavic Air 2,96,12.514,12,10.943,21.3,1.0,1.5709999999999997
Piloto A,634,306.8,Mavic Pro,99,12.275,39,11.134,154.5,4.1,1.141
Piloto A,1047,287.8,Mavic Air 2,100,13.044,45,11.401,21.4,0.7,1.6430000000000007
Piloto D,1198,2568.4,Mavic Pro,100,12.996,13,10.977,32.1,1.0,2.019
Piloto D,806,2120.3,Phantom 3 Advanced,93,16.742,27,14.191,52.2,2.4,2.551
Piloto A,893,27.1,Mavic Pro,100,13.04,46,11.326,23.1,0.4,1.7139999999999986
Piloto A,583,2620.5,Spark,100,12.121,21,10.757,67.3,0.4,1.3640000000000008
Piloto D,246,2670.0,Phantom 3 Advanced,95,16.385,65,14.664,3.5,0.2,1.7210000000000019
Piloto A,186,2116.8,Spark,59,11.645,38,11.074,107.8,0.2,0.5709999999999997
Piloto D,423,6.7,Phantom 3 Advanced,100,17.2,71,15.802,7.5,0.2,1.3979999999999997
Piloto A,448,2575.8,Phantom 4,54,14.688,16,14.292,72.1,0.1,0.3960000000000008
Piloto B,14,2560.8,Spark,94,12.675,93,12.133,1.2,0.0,0.5420000000000016
Piloto A,1042,2692.1,Mavic Pro,99,12.569,18,10.827,91.2,1.2,1.7420000000000009
Piloto D,0,2325.8,Phantom 3 Advanced,93,16.619,93,16.594,0.0,0.0,0.02499999999999858
Piloto D,889,1037.5,Phantom 3 Advanced,94,17.039,21,14.074,454.2,9.8,2.9650000000000016
Piloto A,1028,2630.1,Mavic Air 2,77,12.287,14,10.913,65.5,0.7,1.3740000000000006
Piloto A,1099,3.0,Mavic Pro,99,12.798,29,11.018,6.2,0.9,1.7799999999999994
Piloto A,574,189.0,Phantom 4,100,17.307,63,15.291,118.8,5.2,2.0159999999999982
Piloto B,1419,305.6,Mavic Air 2,100,12.86,24,10.999,25.2,1.1,1.8609999999999989
Piloto A,20,2594.1,Phantom 3 Advanced,80,16.318,78,15.041,8.9,0.0,1.277000000000001
Piloto D,806,435.7,Phantom 3 Advanced,98,17.086,15,14.056,306.7,8.7,3.0299999999999994
Piloto B,676,2620.7,Spark,99,12.631,12,10.695,72.4,0.3,1.936
Piloto D,13,0.0,Phantom 3 Advanced,76,16.188,76,14.542,0.0,0.0,1.645999999999999
Piloto D,245,1215.7,Phantom 3 Advanced,35,15.103,15,13.752,87.1,0.7,1.350999999999999
Piloto A,622,2631.9,Mavic Pro,100,12.63,57,11.547,3.7,0.2,1.0830000000000002
Piloto A,448,2568.1,Mavic Pro,69,12.036,36,11.152,3.1,0.3,0.8840000000000003
Piloto A,565,307.6,Phantom 4,99,17.146,60,15.318,7.3,0.8,1.8280000000000012
Piloto D,791,2828.9,Phantom 4 Pro,100,17.175,39,15.015,57.0,2.0,2.16
Piloto B,1381,1581.6,Mavic Air 2,99,12.741,19,11.014,60.8,1.4,1.7270000000000003
Piloto A,9,2620.8,Mavic Pro,98,12.572,98,11.561,0.5,0.0,1.0109999999999992
Piloto D,91,2561.6,Spark,72,11.894,60,11.354,48.4,0.1,0.5400000000000009
Piloto D,576,12.8,Phantom 3 Advanced,75,15.552,26,14.363,76.4,4.3,1.189
Piloto D,274,2563.8,Spark,53,11.505,19,10.806,30.0,0.8,0.6990000000000016
